"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H2962","Local CCP","HMO/HMOPOS","ULTIMATE HEALTH PLANS, INC.","Ultimate Health Plans","Ultimate Healthcare Holdings, LLC","01/01/2013","Yes","*","15234","15234"
"H2992","National PACE","National PACE","SENIORLIFE WASHINGTON, INC.","Senior LIFE Washington / Uniontown / Greene","SeniorLife Washington, Inc.","05/01/2011","Yes","*","522","522"
"H3015","Local CCP","HMO/HMOPOS","SHARED HEALTH MISSISSIPPI, INC.","Shared Health Dual Plus","BlueCross BlueShield of Tennessee","01/01/2021","Yes","*","4489","4489"
"H3038","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","Molina Healthcare, Inc.,","01/01/2024","Yes","*","18967","18967"
"H3041","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","524","524"
"H3047","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA","Wellcare","Centene Corporation","01/01/2021","Yes","*","2160","2160"
"H3060","National PACE","National PACE","VIECARE BUTLER, LLC","LIFE Butler County","Lutheran SeniorLife","09/01/2013","Yes","*","155","155"
"H3071","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH COMMUNITY CARE, INC.","Clear Spring Health","Group 1001","01/01/2014","Yes","*","1576","1576"
"H3080","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF ALABAMA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","5999","5999"
"H3084","National PACE","National PACE","INTERNATIONAL COMMUNITY HEALTH SERVICES","International Community Health Services","International Community Health Services","07/01/2019","Yes","*","94","94"
"H3113","Local CCP","HMO/HMOPOS","OXFORD HEALTH PLANS (NJ), INC.","UnitedHealthcare","UnitedHealth Group, Inc.","07/01/2005","Yes","*","93786","93786"
"H3138","Local CCP","Local PPO","KAISER PERMANENTE INSURANCE COMPANY","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/2024","Yes","*","277","277"
"H3146","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH INC. (GA)","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","*","57272","57272"
"H3152","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (NJ)","Aetna Medicare","CVS Health Corporation","09/01/1993","Yes","12670","17179","29849"
"H3170","Local CCP","HMO/HMOPOS","SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","Blue Cross Blue Shield of Nebraska","01/01/2017","Yes","*","729","729"
"H3186","Local CCP","Local PPO","SANFORD HEALTH PLAN OF MINNESOTA","Align powered by Sanford Health Plan","Sanford Health","01/01/2022","Yes","*","761","761"
"H3189","Local CCP","HMO/HMOPOS","ESSENCE HEALTHCARE OF OHIO, INC.","Essence Healthcare","Lumeris Group Holdings Corporation","01/01/2023","Yes","*","71","71"
"H3192","Local CCP","HMO/HMOPOS","AETNA HEALTH OF MICHIGAN INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","*","43587","43587"
"H3204","Local CCP","HMO/HMOPOS","PRESBYTERIAN HEALTH PLAN","Presbyterian Health Plan","Presbyterian Healthcare Services","04/01/1986","Yes","1657","56373","58030"
"H3206","Local CCP","Local PPO","PRESBYTERIAN INSURANCE COMPANY, INC.","Presbyterian Insurance Company, Inc.","Presbyterian Healthcare Services","07/01/2005","Yes","118","1224","1342"
"H3219","Local CCP","Local PPO","ALLINA HEALTH AND AETNA INSURANCE COMPANY","Allina Health Aetna Medicare","Allina Health and Aetna Insurance Holding Company","01/01/2019","Yes","1177","22617","23794"
"H3239","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH, INC. (LA)","Aetna Medicare","CVS Health Corporation","01/01/2019","Yes","*","29032","29032"
"H3240","Local CCP","HMO/HMOPOS","WELLPOINT NEW JERSEY, INC.","Wellpoint","Elevance Health, Inc.","01/01/2008","Yes","*","18601","18601"
"H3251","Local CCP","HMO/HMOPOS","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of New Mexico","Health Care Service Corporation","11/01/1993","Yes","*","12101","12101"
"H3256","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2021","Yes","*","47915","47915"
"H3259","Local CCP","HMO/HMOPOS","VOLUNTEER STATE HEALTH PLAN","BlueCare Plus Tennessee","BlueCross BlueShield of Tennessee","01/01/2014","Yes","*","29837","29837"
"H3274","Local CCP","HMO/HMOPOS","ALIGN SENIOR CARE CALIFORNIA INC.","Align Senior Care","Innovative Long Term Care Management, Inc.","01/01/2022","Yes","*","93","93"
"H3276","Local CCP","HMO/HMOPOS","CONNECTICARE INSURANCE COMPANY, INC.","ConnectiCare","EmblemHealth, Inc.","01/01/2019","Yes","*","877","877"
"H3284","National PACE","National PACE","PNW PACE PARTNERS, LLC","Pacific Northwest PACE Partners","MultiCare Health Systems","01/01/2022","Yes","*","111","111"
"H3288","Local CCP","Local PPO","AETNA HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","1226","65816","67042"
"H3291","Local CCP","HMO/HMOPOS","PRUITTHEALTH PREMIER, INC.","PruittHealth Premier","UNICO Services, Inc.","01/01/2016","Yes","*","1641","1641"
"H3305","Local CCP","HMO/HMOPOS","MVP HEALTH PLAN, INC.","MVP HEALTH CARE","MVP Health Care, Inc.","11/01/1985","Yes","953","24157","25110"
"H3307","Local CCP","HMO/HMOPOS","OXFORD HEALTH PLANS (NY), INC.","UnitedHealthcare","UnitedHealth Group, Inc.","10/01/1991","Yes","438","34781","35219"
"H3312","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (NY)","Aetna Medicare","CVS Health Corporation","10/01/1986","Yes","46","68035","68081"
"H3321","National PACE","National PACE","LORETTO INDEPENDENT LIVING SERVICES, INC.","Independent Living Srvcs Of Central Ny","Loretto Rest Realty Corporation","11/01/2002","Yes","*","530","530"
"H3322","National PACE","National PACE","SENIOR CARE CONNECTION, INC.","Eddy SeniorCare","Trinity Health Corporation","11/01/2002","Yes","*","348","348"
"H3329","National PACE","National PACE","CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare PACE","CenterLight Health System, Inc.","11/01/2003","Yes","*","2129","2129"
"H3330","Local CCP","HMO/HMOPOS","HEALTH INSURANCE PLAN OF GREATER NEW YORK","EmblemHealth","EmblemHealth, Inc.","07/01/1987","Yes","16114","22775","38889"
"H3331","National PACE","National PACE","INDEPENDENT LIVING FOR SENIORS, INC.","ElderONE an Affiliate of Rochester Regional Health","Rochester Regional Health","11/01/2003","Yes","*","691","691"
"H3335","Local CCP","Local PPO","EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.","07/01/2004","Yes","253","85473","85726"
"H3342","Local CCP","Local PPO","EMPIRE HEALTHCHOICE ASSURANCE, INC.","Anthem BlueCross BlueShield","Elevance Health, Inc.","09/01/2005","Yes","*","410","410"
"H3344","Local CCP","Local PPO","INDEPENDENT HEALTH BENEFITS CORPORATION","Independent Health","Independent Health Association, Inc.","09/01/2005","Yes","1470","3897","5367"
"H3347","Local CCP","HMO/HMOPOS","ELDERPLAN, INC.","Elderplan","Elderplan, Inc.","01/01/2006","Yes","*","13962","13962"
"H3351","Local CCP","HMO/HMOPOS","EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.","01/01/1990","Yes","431","82982","83413"
"H3359","Local CCP","HMO/HMOPOS","HEALTHFIRST HEALTH PLAN, INC.","Healthfirst Medicare Plan","Healthfirst, Inc.","06/01/1994","Yes","*","248000","248000"
"H3362","Local CCP","HMO/HMOPOS","INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health","Independent Health Association, Inc.","01/01/1996","Yes","8127","53794","61921"
"H3379","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","03/01/1997","Yes","*","43579","43579"
"H3384","Local CCP","HMO/HMOPOS","Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health","02/01/1998","Yes","590","46200","46790"
"H3387","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/1999","Yes","*","153435","153435"
"H3388","Local CCP","HMO/HMOPOS","CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","CDPHP Medicare Advantage","Capital District Physicians' Health Plan, Inc.","08/01/1999","Yes","421","46312","46733"
"H3404","Local CCP","Local PPO","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","Blue Cross and Blue Shield of North Carolina","07/01/2005","Yes","845","26975","27820"
"H3407","Local CCP","HMO/HMOPOS","EL PASO FIRST HEALTH PLANS, INC.","El Paso Health Medicare Advantage","El Paso County Hospital District","01/01/2020","Yes","*","240","240"
"H3416","Local CCP","Local PPO","HEALTHPARTNERS UNITYPOINT HEALTH, INC.","HealthPartners UnityPoint Health","HealthPartners UnityPoint Health, Inc.","01/01/2017","Yes","*","10449","10449"
"H3418","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2020","Yes","*","50036","50036"
"H3419","Local CCP","HMO/HMOPOS","PERENNIAL ADVANTAGE OF COLORADO, INC.","Perennial Advantage","Perennial Consortium, LLC","01/01/2021","Yes","*","147","147"
"H3430","National PACE","National PACE","SUNCOAST PACE, INC.","Suncoast PACE, Inc.","Empath Health, Inc.","09/01/2009","Yes","*","330","330"
"H3443","Local CCP","HMO/HMOPOS","ALIGNMENT HEALTH PLAN OF ARIZONA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2022","Yes","*","3220","3220"
"H3447","Local CCP","HMO/HMOPOS","HEALTHKEEPERS, INC.","Anthem HealthKeepers","Elevance Health, Inc.","01/01/2013","Yes","*","218765","218765"
"H3449","Local CCP","HMO/HMOPOS","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","Blue Cross and Blue Shield of North Carolina","07/01/1995","Yes","5283","86743","92026"
"H3467","Local CCP","HMO/HMOPOS","PROCARE ADVANTAGE, LLC","ProCare Advantage","First Sacramento Capital Funding LLC","01/01/2020","Yes","*","823","823"
"H3471","Local CCP","HMO/HMOPOS","HEALTH ALLIANCE NORTHWEST HEALTH PLAN","Health Alliance Northwest","The Carle Foundation","01/01/2014","Yes","216","12500","12716"
"H3473","National PACE","National PACE","INNOVAGE VIRGINIA PACE-CHARLOTTESVILLE, LLC","InnovAge Virginia PACE - Blue Ridge","Total Community Options, Inc.","03/01/2014","Yes","*","207","207"
"H3493","National PACE","National PACE","LIFE AT LOURDES, INC.","Trinity Health LIFE New Jersey","Trinity Health Corporation","05/01/2009","Yes","*","151","151"
"H3499","Local CCP","HMO/HMOPOS","COORDINATED CARE CORPORATION","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","*","4262","4262"
"H3517","National PACE","National PACE","HUMBOLDT SENIOR RESOURCE CENTER, INC.","Redwood Coast PACE","Humboldt Senior Resource Center, Inc.","09/01/2014","Yes","*","260","260"
"H3522","National PACE","National PACE","REID HOSPITAL & HEALTH CARE SERVICES, INC.","Reid Health PACE Center","Reid Hospital & Health Care Services, Inc.","10/01/2020","Yes","*","54","54"
"H3528","Local CCP","HMO/HMOPOS","CONNECTICARE, INC.","ConnectiCare","EmblemHealth, Inc.","01/01/2008","Yes","1138","31138","32276"
"H3533","Local CCP","HMO/HMOPOS","HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana","Humana Inc.","01/01/2009","Yes","*","39690","39690"
"H3536","Local CCP","HMO/HMOPOS","MATTHEW THORNTON HEALTH PLAN, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2014","Yes","*","5026","5026"
"H3551","Local CCP","HMO/HMOPOS","ETERNALHEALTH OF ARIZONA INC","eternalHealth","Eternal Health of Delaware, Inc.","01/01/2024","Yes","*","163","170"
"H3554","Local CCP","Local PPO","USABLE PPO INSURANCE COMPANY","Arkansas Blue Medicare","USAble Mutual Insurance Company","01/01/2021","Yes","275","7520","7795"
"H3557","Local CCP","Local PPO","BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","Blue Cross & Blue Shield of Rhode Island","01/01/2020","Yes","*","13200","13200"
"H3561","Local CCP","HMO/HMOPOS","HEALTH NET COMMUNITY SOLUTIONS, INC.","Wellcare by Health Net","Centene Corporation","01/01/2016","Yes","*","68651","68651"
"H3563","National PACE","National PACE","GARY AND MARY WEST SENIOR SERVICES, INC.","Gary and Mary West PACE","Gary and Mary West Senior Services, Inc.","07/01/2019","Yes","*","307","307"
"H3597","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (ME)","Aetna Medicare","CVS Health Corporation","01/01/2008","Yes","24","20006","20030"
"H3613","National PACE","National PACE","MCGREGOR PACE","McGregor PACE","McGregor at Overlook","11/01/2002","Yes","*","523","523"
"H3653","Local CCP","HMO/HMOPOS","PARAMOUNT CARE, INC.","Paramount Elite Medicare Plans","Promedica Health System, Inc.","02/01/1995","Yes","122","14020","14142"
"H3655","Local CCP","HMO/HMOPOS","COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","10/01/1994","Yes","14","271560","271574"
"H3660","Local CCP","HMO/HMOPOS","SUMMACARE INC.","SummaCare Medicare Advantage Plans","Summa Health","06/01/1996","Yes","179","23358","23537"
"H3664","Local CCP","HMO/HMOPOS","AULTCARE HEALTH INSURING CORPORATION","PrimeTime Health Plan","Aultman Health Foundation","01/01/1997","Yes","441","12743","13184"
"H3668","Local CCP","HMO/HMOPOS","MOUNT CARMEL HEALTH PLAN, INC.","MediGold","Trinity Health Corporation","03/01/1997","Yes","576","38575","39151"
"H3672","Local CCP","HMO/HMOPOS","THE HEALTH PLAN OF WEST VIRGINIA, INC.","The Health Plan","The Health Plan of West Virginia, Inc.","03/01/1997","Yes","406","7968","8374"
"H3706","Local CCP","HMO/HMOPOS","GLOBALHEALTH, INC.","GlobalHealth","MHH Healthcare, L.P.","01/01/2004","Yes","245","13511","13756"
"H3708","Local CCP","HMO/HMOPOS","OKLAHOMA SUPERIOR SELECT, INC.","American Health Advantage of Oklahoma","Mitchell Family Office","08/01/2005","Yes","*","304","304"
"H3727","Local CCP","HMO/HMOPOS","OH CHS SNP INC.","Communicare Advantage","SNP Holdings, LLC","01/01/2021","Yes","*","1962","1962"
"H3748","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF WASHINGTON, INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","*","19153","19153"
"H3749","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/1991","Yes","22","40788","40810"
"H3755","Local CCP","HMO/HMOPOS","COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Senior Health Plan (HMO)","St Francis Health System & St John Health System","05/01/1996","Yes","2027","31152","33179"
"H3777","Local CCP","HMO/HMOPOS","EXPERIENCE HEALTH, INC.","Experience Health","Blue Cross and Blue Shield of North Carolina","01/01/2020","Yes","*","4373","4373"
"H3794","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2014","Yes","*","44077","44077"
"H3800","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2020","Yes","*","1328","1328"
"H3805","Local CCP","HMO/HMOPOS","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/1986","Yes","1846","144322","146168"
"H3809","National PACE","National PACE","PROVIDENCE HEALTH & SERVICES - OREGON","Providence ElderPlace Portland","Providence Health & Services","11/01/2003","Yes","*","1750","1750"
"H3810","Local CCP","HMO/HMOPOS","ALLCARE HEALTH PLAN, INC.","AllCare Advantage","AllCare Health, Inc.","05/01/2005","Yes","158","4556","4714"
"H3811","Local CCP","HMO/HMOPOS","SAMARITAN HEALTH PLANS, INC.","Samaritan Advantage Health Plans","Samaritan Health Services","06/01/2005","Yes","251","11134","11385"
"H3813","Local CCP","Local PPO","MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","Moda Partners, Inc.","07/01/2005","Yes","823","2981","3804"
"H3814","Local CCP","HMO/HMOPOS","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans","07/01/2005","Yes","*","2810","2810"
"H3815","Local CCP","HMO/HMOPOS","ALIGNMENT HEALTH PLAN","Alignment Health Plan","Alignment Healthcare USA, LLC","07/01/2005","Yes","*","125529","125529"
"H3817","Local CCP","Local PPO","REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","Cambia Health Solutions, Inc.","07/01/2005","Yes","5829","63720","69549"
"H3822","Local CCP","HMO/HMOPOS","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of IL, NM","Health Care Service Corporation","01/01/2013","Yes","*","20619","20619"
"H3828","Local CCP","Local PPO","MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.","Saint Alphonsus Health Plan","Trinity Health Corporation","01/01/2023","Yes","*","59","59"
"H3832","Local CCP","Local PPO","HAWAII MEDICAL SERVICE ASSOCIATION","HMSA Akamai Advantage","Hawaii Medical Service Association","01/01/2011","Yes","1579","34291","35870"
"H3864","Local CCP","HMO/HMOPOS","PACIFICSOURCE COMMUNITY HEALTH PLANS","PacificSource Medicare","PacificSource","01/01/1999","Yes","2720","40409","43129"
"H3890","Local CCP","Local PPO","HOPKINS HEALTH ADVANTAGE, INC.","Johns Hopkins Advantage MD","Johns Hopkins Healthcare LLC","01/01/2016","Yes","*","6195","6195"
"H3907","Local CCP","HMO/HMOPOS","UPMC HEALTH PLAN, INC.","UPMC for Life","UPMC Health System","01/01/2001","Yes","8692","132612","141304"
"H3908","National PACE","National PACE","TRINITY HEALTH LIFE PENNSYLVANIA, INC.","Mercy LIFE - West Philadelphia","Trinity Health Corporation","01/01/2002","Yes","*","310","310"
"H3909","Local CCP","Local PPO","QCC INSURANCE COMPANY","Independence Blue Cross","Independence Health Group, Inc.","01/01/2002","Yes","739","32263","33002"
"H3916","Local CCP","Local PPO","HIGHMARK SENIOR HEALTH COMPANY","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health","05/01/2003","Yes","21956","197573","219529"
"H3917","National PACE","National PACE","PITTSBURGH CARE PARTNERSHIP, INC.","Community LIFE","UPMC Health System","03/01/2004","Yes","*","777","777"
"H3918","National PACE","National PACE","LIVING INDEPENDENCE FOR THE ELDERLY PITTSBURGH INC","LIFE Pittsburgh","Living Independence for the Elderly","05/01/2005","Yes","*","497","497"
"H3919","National PACE","National PACE","Mercy LIFE","Mercy LIFE","Trinity Health Corporation","10/01/2005","Yes","*","802","802"
"H3923","Local CCP","Local PPO","CAPITAL ADVANTAGE INSURANCE COMPANY","Capital Blue Cross","CAPITAL BLUE CROSS","09/01/2005","Yes","*","25098","25098"
"H3924","Local CCP","Local PPO","GEISINGER INDEMNITY INSURANCE COMPANY","Geisinger Gold","Geisinger Health","09/01/2005","Yes","*","44488","44488"
"H3925","National PACE","National PACE","PENNSYLVANIA PACE, INC.","Senior LIFE Johnstown","Pennsylvania PACE, Inc.","11/01/2007","Yes","*","218","218"
"H3928","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (LA)","Aetna Medicare","CVS Health Corporation","01/01/2014","Yes","*","2029","2029"
"H3931","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation","11/01/1985","Yes","1616","89423","91039"
"H3942","National PACE","National PACE","ELDERHAUS INC.","Elderhaus PACE","EveryAge","02/01/2008","Yes","*","107","107"
"H3949","Local CCP","HMO/HMOPOS","BRAVO HEALTH PENNSYLVANIA, INC.","Cigna Healthcare","The Cigna Group","02/01/1992","Yes","460","38463","38923"
"H3952","Local CCP","HMO/HMOPOS","KEYSTONE HEALTH PLAN EAST, INC.","Independence Blue Cross","Independence Health Group, Inc.","01/01/1993","Yes","3278","74432","77710"
"H3954","Local CCP","HMO/HMOPOS","GEISINGER HEALTH PLAN","Geisinger Gold","Geisinger Health","03/01/1994","Yes","1836","52592","54428"
"H3957","Local CCP","HMO/HMOPOS","HIGHMARK CHOICE COMPANY","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health","03/01/1995","Yes","1034","54665","55699"
"H3959","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation","01/01/1996","Yes","7537","195007","202544"
"H3962","Local CCP","HMO/HMOPOS","KEYSTONE HEALTH PLAN CENTRAL, INC.","Capital Blue Cross","CAPITAL BLUE CROSS","05/01/1996","Yes","*","8668","8668"
"H3975","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","Wellcare","Centene Corporation","01/01/2021","Yes","392","2614","3006"
"H3979","Local CCP","HMO/HMOPOS","GHS HEALTH MAINTENANCE ORGANIZATION, INC.","Blue Cross and Blue Shield of Oklahoma","Health Care Service Corporation","01/01/2014","Yes","*","2108","2108"
"H3991","National PACE","National PACE","CONCERTOHEALTH OF NORTHERN VIRGINIA, LLC","Cherry Blossom PACE","One Senior Care, Inc.","12/01/2021","Yes","*","26","26"
"H4003","Local CCP","HMO/HMOPOS","MMM HEALTHCARE, LLC","Medicare y Mucho Mas","Elevance Health, Inc.","09/01/2001","Yes","*","154102","154102"
"H4004","Local CCP","HMO/HMOPOS","MMM HEALTHCARE, LLC","PMC Medicare Choice","Elevance Health, Inc.","08/01/2004","Yes","*","94774","94774"
"H4005","Local CCP","Local PPO","TRIPLE S ADVANTAGE, INC.","Triple-S Advantage","Guidewell Mutual Holding Corporation","01/01/2005","Yes","309","6151","6460"
"H4007","Local CCP","HMO/HMOPOS","HUMANA HEALTH PLANS OF PUERTO RICO, INC.","Humana","Humana Inc.","06/01/2005","Yes","*","32954","32954"
"H4036","Local CCP","Local PPO","ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2008","Yes","93876","208400","302276"
"H4045","Local CCP","HMO/HMOPOS","SANTA CLARA COUNTY HEALTH AUTHORITY","Santa Clara Family Health Plan","SANTA CLARA COUNTY HEALTH AUTHORITY","01/01/2023","Yes","*","10742","10742"
"H4053","National PACE","National PACE","PRISMA HEALTH-UPSTATE","Prisma Health SeniorCare PACE-Upstate","Prisma Health","04/01/2016","Yes","*","118","118"
"H4054","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2022","Yes","*","2077","2077"
"H4073","Local CCP","HMO/HMOPOS","WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","4490","4490"
"H4074","National PACE","National PACE","MERCY LIFE OF ALABAMA","Mercy LIFE of Alabama","Trinity Health Corporation","12/01/2011","Yes","*","166","166"
"H4091","Local CCP","Local PPO","SIMPRA ADVANTAGE, INC.","Simpra Advantage","Associated Care Ventures, Inc.","01/01/2018","Yes","*","2566","2566"
"H4093","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2017","Yes","*","688","688"
"H4094","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","*","294","294"
"H4105","National PACE","National PACE","PACE ORGANIZATION OF RHODE ISLAND","PACE Organization Of Rhode Island","PACE Organization of Rhode Island","12/01/2005","Yes","*","358","358"
"H4118","National PACE","National PACE","THE WASHTENAW PACE","Huron Valley PACE","Utd Methodist Retirement Communities of SE MI","02/01/2014","Yes","*","278","278"
"H4140","Local CCP","HMO/HMOPOS","DOCTORS HEALTHCARE PLANS, INC.","Doctors HealthCare Plans, Inc.","DOCTORS HEALTHCARE PLANS, INC.","01/01/2019","Yes","*","10730","10730"
"H4141","Local CCP","HMO/HMOPOS","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana","Humana Inc.","01/01/2010","Yes","*","89843","89843"
"H4142","National PACE","National PACE","CHEROKEE NATION COMPREHENSIVE CARE AGENCY","Cherokee Elder Care","Cherokee Nation Comprehensive Care Agency","08/01/2008","Yes","*","187","187"
"H4152","Local CCP","HMO/HMOPOS","BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","Blue Cross & Blue Shield of Rhode Island","01/01/1997","Yes","674","60000","60674"
"H4161","Local CCP","HMO/HMOPOS","BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN","Anthem Blue Cross Partnership Plan","Elevance Health, Inc.","01/01/2023","Yes","*","45302","45302"
"H4172","Local CCP","HMO/HMOPOS","NHC ADVANTAGE, LLC","NHC Advantage","Missouri Healthcare Advisors, LLC","01/01/2017","Yes","*","1184","1184"
"H4185","National PACE","National PACE","NEIGHBORHOOD HEALTHCARE","Neighborhood Healthcare PACE","Neighborhood HealthCare","07/01/2021","Yes","*","125","125"
"H4198","Local CCP","HMO/HMOPOS","COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","Integris Health Partners+ (HMO)","St Francis Health System & St John Health System","01/01/2016","Yes","18","456","474"
"H4203","National PACE","National PACE","PRISMA HEALTH-MIDLANDS","Prisma Health SeniorCare PACE-Midlands","Prisma Health","11/01/2003","Yes","*","291","291"
"H4213","PFFS","PFFS","USABLE MUTUAL INSURANCE COMPANY","Arkansas Blue Medicare","USAble Mutual Insurance Company","01/01/2010","Yes","731","1522","2253"
"H4227","Local CCP","HMO/HMOPOS","VISTA HEALTH PLAN, INC.","VISTA Health Plan Inc.","Independence Health Group, Inc.","01/01/2013","Yes","*","16992","16992"
"H4232","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF UT, INC.","American Health Advantage of Utah","Mitchell Family Office","01/01/2021","Yes","*","316","316"
"H4235","National PACE","National PACE","SENIOR TOTAL LIFE CARE, INC.","Senior Total Life Care","CaroMont Health, Inc.","01/01/2014","Yes","*","240","240"
"H4256","National PACE","National PACE","PACE NORTH, INC.","PACE North","PACE North","09/01/2019","Yes","*","173","173"
"H4277","Local CCP","Local PPO","CommunityCare Life & Health Insurance Co.","CommunityCare Options (PPO)","CommunityCare Managed Healthcare Plans of OK, Inc.","01/01/2023","Yes","*","38","38"
"H4279","Local CCP","HMO/HMOPOS","UPMC FOR YOU, INC","UPMC for Life Complete Care","UPMC Health System","01/01/2012","Yes","*","40857","40857"
"H4286","Local CCP","HMO/HMOPOS","LEON HEALTH, INC.","Leon Health, Inc.","Leon Health Holdings, LLC","01/01/2022","Yes","*","39342","39342"
"H4305","National PACE","National PACE","TOTAL LIFE HEALTHCARE","Total Life Healthcare","St. Bernard's Healthcare","06/01/2008","Yes","*","325","325"
