"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H1969","Local CCP","HMO/HMOPOS","REGENCE BLUESHIELD OF IDAHO, INC.","Regence BlueShield of Idaho","Cambia Health Solutions, Inc.","01/01/2015","Yes","52","1741","1793"
"H1977","Demo","Medicare-Medicaid Plan HMO/HMOPOS","UPPER PENINSULA HEALTH PLAN, LLC","Upper Peninsula Health Plan (UPHP) MI Health Link","DLP Marquette General Hospital, LLC","03/01/2015","Yes","*","4668","4668"
"H1980","National PACE","National PACE","HOSPICE OF THE BLUEGRASS, INC","Bluegrass PACE Care","Hospice of the Bluegrass, Inc.","08/01/2022","Yes","*","15","15"
"H1993","Local CCP","HMO/HMOPOS","ASTIVA HEALTH, INC.","Astiva Health","Astiva Group, LLC","01/01/2021","Yes","*","8338","8338"
"H1994","Local CCP","HMO/HMOPOS","SELECTHEALTH, INC.","Select Health","Intermountain Health Care, Inc.","01/01/2013","Yes","224","52137","52361"
"H1997","Local CCP","HMO/HMOPOS","REGENCE BLUESHIELD","Regence BlueShield","Cambia Health Solutions, Inc.","01/01/2014","Yes","62","3997","4059"
"H2001","Local CCP","Local PPO","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","08/01/2005","Yes","633483","1360039","1993522"
"H2029","Local CCP","Local PPO","HUMANA INSURANCE OF PUERTO RICO, INC.","Humana","Humana Inc.","01/01/2008","Yes","*","782","782"
"H2032","Local CCP","Local PPO","Baylor Scott & White Insurance Company","Baylor Scott & White Health Plan","Baylor Scott & White Holdings","01/01/2018","Yes","*","2671","2671"
"H2034","Local CCP","HMO/HMOPOS","COMMUNITY CARE HEALTH PLAN, INC.","Community Care","Community Care, Inc.","01/01/2008","Yes","*","539","539"
"H2056","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","18","13651","13669"
"H2064","National PACE","National PACE","GEISINGER COMMUNITY HEALTH SERVICES","LIFE Geisinger","Geisinger Health","06/01/2008","Yes","*","397","397"
"H2085","National PACE","National PACE","COLLABRIA CARE","Providence PACE","St. Joseph Home Care Network","01/01/2023","Yes","*","22","22"
"H2108","Local CCP","HMO/HMOPOS","BRAVO HEALTH MID-ATLANTIC, INC.","Cigna Healthcare","The Cigna Group","01/01/2001","Yes","*","14386","14386"
